PDF_Item,Excel_Item,Excel_Row,Match_Score,Wrote_Rate(C),Wrote_Qty(D),Existing_Rate(C)_after,Existing_Qty(D)_after,Action
Form Letter Correspondence,Notification/Correspondence Fees: Form letter correspondence (per letter),36,100.0,False,False,5.0,54.0,skipped-no-empty-targets-or-NaN
Email Correspondence,Notification/Correspondence Fees: Print/address - Email address searches (per record),33,100.0,False,False,2.5,181.0,skipped-no-empty-targets-or-NaN
Processing Change of Address Requests,Notification/Correspondence Fees: Processing change of address requests (per request),38,100.0,False,False,2.0,4.0,skipped-no-empty-targets-or-NaN
Set-Up Fee for Dedicated Website - Online Filing Capability,Website: Website setup (one time fee),58,59.45945945945946,False,False,3500.0,1.0,skipped-no-empty-targets-or-NaN
Monthly Hosting,Website: Monthly hosting (per month),59,100.0,False,False,125.0,9.0,skipped-no-empty-targets-or-NaN
Modifications to Post-Production Website,Website - Modifications to post-production website,141,100.0,False,False,150.0,5.0,skipped-no-empty-targets-or-NaN
IVR Design & Setup,Contact Center: Call center IVR design and setup (one time fee),61,100.0,False,False,1000.0,1.0,skipped-no-empty-targets-or-NaN
IVR Operating System (per minute),Contact Center: IVR operating system (per minute),62,100.0,False,False,0.15,10830.0,skipped-no-empty-targets-or-NaN
Operator Training,Contact Center: Operator training (one time fee),64,100.0,False,False,500.0,1.0,skipped-no-empty-targets-or-NaN
Live Operator Minutes,Contact Center: Live operator minutes (per minute),65,100.0,False,False,0.95,903.0,skipped-no-empty-targets-or-NaN
Review & Process Opt-Out Forms Received,Process Opt-outs and Objections - Review and process opt-out forms received/Logging,148,100.0,False,False,75.0,3.0,skipped-no-empty-targets-or-NaN
Online Opt-In or Claim Forms,Process Claim Forms Deficiencies and Rejections: Online opt-in or claim forms (per form),81,100.0,False,False,0.27,21443.0,skipped-no-empty-targets-or-NaN
Opt-In or Claim Forms,Process Claim Forms Deficiencies and Rejections: Opt-in or claim forms (per form),72,100.0,False,False,2.95,217.0,skipped-no-empty-targets-or-NaN
Send Form Deficiency & Rejection Letters,Process Claim Forms Deficiencies and Rejections: Send form deficiency & rejection letters (per letter),97,100.0,False,False,3.0,1083.0,skipped-no-empty-targets-or-NaN
Claimant Responses to Deficient Claim Form,Process Claim Forms Deficiencies and Rejections: Claimant responses to deficient claim form (per response),100,100.0,False,False,3.0,650.0,skipped-no-empty-targets-or-NaN
Review of Claims Filed - Blended Rate,Dispute Resolutions/Validation of Claims - Review of claims filed,155,77.19298245614036,False,False,100.0,15.0,skipped-no-empty-targets-or-NaN
Top Claim Review (Sr. Project Manager),Project Management - Staff,170,61.016949152542374,False,False,175.0,10.0,skipped-no-empty-targets-or-NaN
Generate Distribution List,Distribution Services: Generate distribution list (one time fee),103,100.0,False,False,1500.0,1.0,skipped-no-empty-targets-or-NaN
Processing & Printing Distribution Checks 10%,Distribution Services: Processing and printing distribution checks (per check),104,96.62921348314607,False,False,1.0,2166.0,skipped-no-empty-targets-or-NaN
Processing & Issuing Electronic Payments 90%,Distribution Services: Processing and issuing electronic payments (per payment),106,96.55172413793103,False,False,0.25,19494.0,skipped-no-empty-targets-or-NaN
Process Checks Returned as Undeliverable,Distribution Services: Process checks returned as undeliverable (per check),117,100.0,False,False,0.25,87.0,skipped-no-empty-targets-or-NaN
Skip-Tracing Return Checks,Distribution Services: Skip-tracing return checks (per check),118,100.0,False,False,0.75,87.0,skipped-no-empty-targets-or-NaN
All Work on Re-Issuance of Checks,Distribution Services - All work on reissuance of checks,161,77.77777777777777,False,False,85.0,15.0,skipped-no-empty-targets-or-NaN
Print & Mail Re-Issues - Checks,Distribution Services: Print and mail reissues - checks (per check),120,80.76923076923077,False,False,2.5,1902.0,skipped-no-empty-targets-or-NaN
Recording and Reconciling Settlement Fund Activity,Tax Reporting - Recording and reconciling SFA activity during the year,165,80.95238095238095,False,False,100.0,15.0,skipped-no-empty-targets-or-NaN
Preparation of Settlement Fund Tax Return 1 Per Annum,Tax Reporting: Preparation of Settlement Fund tax return (per year),123,91.83673469387755,False,False,2000.0,,skipped-no-empty-targets-or-NaN
Scanning Set-Up Charges,Mail Handling Scanning & Data/Image Storing: Mail handling charges (per piece),129,82.05128205128204,False,False,200.0,1.0,skipped-no-empty-targets-or-NaN
Scanning / Images of Documents,Mail Handling Scanning & Data/Image Storing: Scanning/images of documents (per scan),128,100.0,False,False,0.1,11570.0,skipped-no-empty-targets-or-NaN
Mail Handling Charges,Mail Handling Scanning & Data/Image Storing: Mail handling charges (per piece),129,100.0,False,False,200.0,1.0,skipped-no-empty-targets-or-NaN
PO Box Fee,Mail Handling Scanning & Data/Image Storing: PO Box Fee (one time fee),132,100.0,False,False,50.0,9.0,skipped-no-empty-targets-or-NaN
Data / Image Storage - Including Electronic Claims Received,Mail Handling Scanning & Data/Image Storing: Data/image storage (per month),130,57.6271186440678,False,False,100.0,9.0,skipped-no-empty-targets-or-NaN
Technology Charge,Mail Handling Scanning & Data/Image Storing: Technology charge (per month),131,100.0,False,False,100.0,9.0,skipped-no-empty-targets-or-NaN
Senior Director,Project Management - Senior Director,168,100.0,False,False,250.0,5.0,skipped-no-empty-targets-or-NaN
Project Management - Blended Rates,Project Management - Project management,169,100.0,False,False,150.0,45.0,skipped-no-empty-targets-or-NaN
Staff - Blended Rates,Project Management - Staff,170,51.16279069767442,False,False,175.0,10.0,skipped-no-empty-targets-or-NaN
Clerical or Data Entry - Blended Rates,Project Management - Clerical/data entry,171,69.0909090909091,False,False,50.0,25.0,skipped-no-empty-targets-or-NaN
Technical Consulting - Blended Rates,Project Management - Technical consulting,172,74.07407407407408,False,False,140.0,15.0,skipped-no-empty-targets-or-NaN
Postage - Notice (Postcard),Notification/Correspondence Fees: Print reminder letter/postcard (per reminder),40,51.61290322580645,False,False,0.406,127005.0,skipped-no-empty-targets-or-NaN
Postage - Letters,Process Claim Forms Deficiencies and Rejections: Send form deficiency & rejection letters (per letter),97,63.63636363636363,False,False,3.0,1083.0,skipped-no-empty-targets-or-NaN
Postage - Distribution (Letter),Distribution Services: Reminder letters to claimants (per letter),119,82.6086956521739,False,False,0.593,4068.0,skipped-no-empty-targets-or-NaN
Prepare CAFA Notice to State & Federal AG,Notification/Correspondence Fees: Prepare CAFA notice (per mailing),28,61.6822429906542,False,False,2500.0,1.0,skipped-no-empty-targets-or-NaN
Postage - CAFA,Notification/Correspondence Fees: Prepare CAFA notice (per mailing),28,50.0,False,False,2500.0,1.0,skipped-no-empty-targets-or-NaN
Print Reminder Notice [Standard Postcard (Single)] 99%,Notification/Correspondence Fees: Print reminder letter/postcard (per reminder),40,73.6842105263158,False,False,0.406,127005.0,skipped-no-empty-targets-or-NaN
Process Undeliverable Reminder Notices 5%,Notification/Correspondence Fees: Process undeliverable reminder notices (per piece),41,97.43589743589743,False,False,0.25,5969.0,skipped-no-empty-targets-or-NaN
Postage - Notice (Postcard),Notification/Correspondence Fees: Print reminder letter/postcard (per reminder),40,51.61290322580645,False,False,0.406,127005.0,skipped-no-empty-targets-or-NaN
Processing & Issuing Single-Postcard Voucher,Distribution Services: Processing and issuing electronic payments (per payment),106,64.70588235294117,False,False,0.25,19494.0,skipped-no-empty-targets-or-NaN
Generate Email Address List,Notification/Correspondence Fees: Generate email address list (one time fee),42,100.0,False,False,500.0,1.0,skipped-no-empty-targets-or-NaN
Distribution Email List Cleanse and Hygiene,Distribution Services: Distribution email list cleanse and hygiene (one time),113,100.0,False,False,350.0,1.0,skipped-no-empty-targets-or-NaN
Emailing of Non-Cash Vouchers,Distribution Services:  Emailing of non-cash payments (per email),114,81.63265306122449,False,False,0.05,19494.0,skipped-no-empty-targets-or-NaN
Postage - Distribution (Postcard),Distribution Services - Coordinating Distribution,162,60.317460317460316,False,False,0.406,2166.0,skipped-no-empty-targets-or-NaN
